person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_to_income,monthly_payment,payment_to_income,credit_to_age
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0.10416666666666667,9.283333333333333,0.011604166666666667,0.09523809523809523
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0.5729166666666666,58.987500000000004,0.073734375,0.12
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0.5343511450381679,444.2083333333333,0.08138167938931298,0.08695652173913043
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0.6433823529411765,416.2083333333333,0.09181066176470588,0.16666666666666666
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0.25252525252525254,14.875,0.018030303030303032,0.09523809523809523
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0.45395590142671854,362.25,0.05638132295719844,0.11538461538461539
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0.44328486752115104,324.0416666666667,0.049248948781599876,0.16666666666666666
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0.42168674698795183,259.5833333333333,0.037530120481927706,0.08333333333333333
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.16,19.653333333333332,0.023583999999999997,0.14285714285714285
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,0.4117647058823529,302.4583333333333,0.0427,0.18181818181818182
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.45,32.362500000000004,0.038835,0.09523809523809523
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,0.3684210526315789,230.41666666666666,0.029105263157894735,0.08695652173913043
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,0.323594674556213,536.375,0.05950906065088757,0.15384615384615385
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0.30434782608695654,230.41666666666666,0.024043478260869562,0.17391304347826086
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.06,266.25,0.006390000000000001,0.13043478260869565
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0.2916666666666667,230.41666666666666,0.023041666666666665,0.17391304347826086
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,0.3799763329026935,590.625,0.07694520741279542,0.17391304347826086
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,0.30973451327433627,532.2916666666666,0.056526548672566373,0.17391304347826086
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0.16203703703703703,16.027083333333334,0.01780787037037037,0.08333333333333333
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0.2153846153846154,218.45833333333334,0.016132307692307692,0.16
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0.25401459854014596,486.33,0.042598248175182485,0.08
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,0.5230769230769231,498.09999999999997,0.09195692307692306,0.18181818181818182
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0.1366120218579235,9.112499999999999,0.009959016393442622,0.125
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.424375,411.36083333333335,0.061704125,0.18181818181818182
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.4871136303250376,348.7,0.06176600832521477,0.125
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.4159090909090909,67.63375,0.07378227272727274,0.14285714285714285
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.12727272727272726,10.873333333333333,0.011861818181818182,0.13043478260869565
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.5,270.5625,0.049949999999999994,0.125
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.3512160856967249,42.800000000000004,0.04509614540345948,0.09523809523809523
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.1736111111111111,18.533333333333335,0.01930555555555556,0.14285714285714285
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0.26666666666666666,176.53333333333333,0.017653333333333333,0.08
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,0.3268421052631579,366.64875,0.04631352631578947,0.11538461538461539
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.07924836601307189,279.8854166666667,0.010975898692810458,0.12
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.026,87.685,0.0035074,0.15384615384615385
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,0.20833333333333334,15.645833333333334,0.015645833333333335,0.19047619047619047
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,0.625,459.75,0.1149375,0.09090909090909091
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,0.46875,363.5,0.06815625,0.125
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.4,422.25,0.06756,0.16
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,N,4,0.4195804195804196,274.75,0.046111888111888114,0.17391304347826086
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,0.48348106365834004,449.75,0.08697824335213537,0.07692307692307693
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,0.20833333333333334,26.4375,0.0264375,0.125
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.06666666666666667,131.33333333333334,0.005253333333333334,0.15384615384615385
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.08083333333333333,392.24375000000003,0.015689750000000002,0.08695652173913043
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.03333333333333333,86.50000000000001,0.0034600000000000004,0.15384615384615385
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.08333333333333333,319.375,0.012775,0.11538461538461539
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.06,246.75,0.00987,0.12
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,0.37179328293468833,187.25,0.027847316891808152,0.11538461538461539
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,0.45248868778280543,317.25,0.05742081447963801,0.13636363636363635
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,0.33697263782180886,165.5,0.022307588623803748,0.11538461538461539
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,Y,4,0.38461538461538464,274.75,0.04226923076923077,0.16666666666666666
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,0.38461538461538464,465.5,0.07161538461538461,0.13043478260869565
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,0.32607277944437196,380.75,0.04966088430937785,0.13043478260869565
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,0.30927835051546393,266.25,0.03293814432989691,0.08695652173913043
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.25,197.5,0.01975,0.16
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.03571428571428571,133.0,0.0057,0.11538461538461539
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.07217506784456378,191.33333333333334,0.008285697788555922,0.11538461538461539
23,277000,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,N,4,0.1263537906137184,320.5416666666667,0.013886281588447656,0.17391304347826086
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0.234375,182.25,0.017085937500000002,0.16
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,0.14583333333333334,16.027083333333334,0.016027083333333334,0.125
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0.22900763358778625,149.75,0.013717557251908397,0.19047619047619047
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.04363636363636364,115.8,0.005053090909090909,0.09090909090909091
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,0.03802281368821293,91.58333333333333,0.004178707224334601,0.15384615384615385
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.1126887536623845,327.0833333333333,0.017692134324994363,0.08
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.4157142857142857,387.7575,0.06647271428571429,0.13636363636363635
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.125,18.55,0.01855,0.13636363636363635
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.1076923076923077,256.43333333333334,0.011835384615384616,0.11538461538461539
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.07722007722007722,240.33333333333334,0.011135135135135137,0.08
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.03764705882352941,55.919999999999995,0.0026315294117647057,0.08333333333333333
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.1,281.0416666666667,0.013490000000000002,0.16
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,0.25,27.474999999999998,0.027475,0.12
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,0.4916593503072871,256.43333333333334,0.054033362598770854,0.09090909090909091
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.25,34.025,0.034025,0.14285714285714285
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.4307692307692308,184.33333333333334,0.03403076923076923,0.08695652173913043
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.32941176470588235,174.76666666666665,0.02467294117647059,0.11538461538461539
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.5083333333333333,38.17583333333334,0.03817583333333334,0.11538461538461539
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.3181818181818182,231.23333333333335,0.03153181818181819,0.13636363636363635
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.35,47.18,0.04718,0.19047619047619047
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.3958333333333333,28.2625,0.0282625,0.09090909090909091
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.33733314057153874,373.09999999999997,0.053939569177389034,0.16666666666666666
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.072,194.70000000000002,0.0093456,0.125
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.28,296.09999999999997,0.035531999999999994,0.12
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.2545454545454545,207.66666666666666,0.022654545454545455,0.07692307692307693
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,0.225,24.727500000000003,0.024727500000000003,0.15384615384615385
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,0.25925925925925924,256.43333333333334,0.028492592592592594,0.18181818181818182
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.18518518518518517,259.23333333333335,0.020574074074074074,0.08695652173913043
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,0.4,252.76999999999998,0.04396,0.08333333333333333
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.2708333333333333,42.46666666666667,0.042466666666666666,0.14285714285714285
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.39285714285714285,299.2916666666667,0.051307142857142864,0.13636363636363635
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,0.10416666666666667,228.95833333333334,0.011447916666666667,0.09090909090909091
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.36953551912568305,352.10083333333336,0.057721448087431695,0.07692307692307693
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.3253012048192771,303.52500000000003,0.04388313253012049,0.08333333333333333
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,0.36785242305753485,247.275,0.040426981294023084,0.125
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.416,253.71666666666667,0.0487136,0.08695652173913043
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.21333333333333335,270.71999999999997,0.027071999999999995,0.13043478260869565
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.12944983818770225,18.093333333333334,0.0175663430420712,0.125
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.4245833333333333,233.30854166666666,0.04666170833333333,0.13636363636363635
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.08547008547008547,237.83333333333334,0.012196581196581197,0.16
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.08547008547008547,148.00000000000003,0.007589743589743591,0.16666666666666666
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.09230769230769231,219.24,0.011243076923076923,0.11538461538461539
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.053845179272773346,142.99833333333333,0.007764474851133916,0.12
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.10752688172043011,295.2083333333333,0.015236559139784946,0.07692307692307693
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.15217391304347827,408.0416666666667,0.02128913043478261,0.16
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.30481927710843376,231.70583333333332,0.033499638554216865,0.13043478260869565
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.1388888888888889,19.847916666666666,0.01890277777777778,0.12
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.5882352941176471,265.2083333333333,0.07488235294117647,0.14285714285714285
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,0.6097560975609756,228.95833333333334,0.06701219512195122,0.125
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.2340823970037453,32.175000000000004,0.030126404494382027,0.16
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.2816358024691358,30.142916666666665,0.027910108024691356,0.125
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.08849557522123894,191.5,0.010168141592920354,0.15384615384615385
